,Date Event Began,state
759,2012-03-02,Arkansas
760,2012-07-01,North Carolina
761,2016-12-30,Vermont
762,2015-08-13,Texas
763,2015-10-13,Texas
764,2015-10-13,California
765,2015-10-28,Pennsylvania
766,2015-10-30,Oregon
767,2015-12-05,New York
768,2015-12-05,Pennsylvania
769,2013-08-21,Arkansas
770,2013-08-22,Arizona
771,2013-09-29,Arkansas
772,2013-01-07,Maryland
773,2013-01-16,Maryland
774,2013-06-20,Maryland
775,2013-08-06,New Mexico
776,2013-08-07,Oregon
777,2013-08-22,Delaware
778,2013-08-23,Delaware
779,2013-08-26,Washington
780,2013-08-28,Wyoming
781,2013-08-29,Missouri
782,2017-06-21,Oregon
783,2013-01-16,Iowa
784,2013-01-28,Washington
785,2013-05-29,Virginia
786,2013-10-06,Arkansas
787,2013-10-11,Arkansas
788,2013-10-19,California
789,2013-11-05,Indiana
790,2013-12-27,Arizona
791,2013-12-30,Utah
792,2013-12-30,Arizona
793,2011-05-21,Nevada
794,2011-05-24,Illinois
795,2012-01-12,Delaware
796,2012-01-13,Delaware
797,2012-04-03,Washington
798,2012-04-07,Delaware
799,2012-04-07,Delaware
800,2012-04-07,Delaware
801,2012-04-21,Massachusetts
802,2012-05-24,Massachusetts
803,2012-05-29,Washington
804,2012-05-31,Ohio
805,2012-06-29,Delaware
806,2014-01-26,New Jersey
807,2014-03-05,Utah
808,2014-03-26,Iowa
809,2014-05-08,California
810,2014-05-08,Mississippi
811,2014-08-01,Utah
812,2014-03-17,Arizona
813,2014-09-23,New York
814,2014-09-21,New York
815,2013-11-01,Delaware
816,2013-11-02,Utah
817,2013-11-16,Utah
818,2013-11-20,Utah
819,2013-11-24,Utah
820,2014-01-13,Arizona
821,2014-01-15,Utah
822,2014-01-16,Arizona
823,2014-01-21,New Jersey
824,2014-01-21,Missouri
825,2014-01-22,Wisconsin
826,2014-01-22,Ohio
827,2014-01-22,Wisconsin
828,2014-01-23,Washington
829,2014-01-24,Wisconsin
830,2014-01-25,Wisconsin
831,2014-01-26,Oregon
832,2014-01-30,Arizona
833,2014-02-12,Vermont
834,2014-02-14,Oregon
835,2014-02-18,Oregon
836,2014-03-14,Iowa
837,2014-03-24,Utah
838,2014-04-08,California
839,2014-04-25,Delaware
840,2014-04-27,Oregon
841,2014-05-11,Minnesota
842,2014-05-12,Utah
843,2014-05-20,Utah
844,2014-05-23,North Carolina
845,2014-05-27,Arizona
846,2014-06-03,Texas
847,2014-06-11,Mississippi
848,2014-06-18,Washington
849,2014-06-19,Tennessee
850,2014-06-24,Tennessee
851,2014-09-16,California
852,2014-09-24,Washington
853,2013-12-06,Utah
854,2013-07-10,Massachusetts
855,2013-08-01,New York
856,2013-03-27,Massachusetts
857,2013-07-05,California
858,2013-07-11,Arizona
859,2013-07-12,Washington
860,2013-07-22,California
861,2013-07-25,Washington
862,2013-08-04,Utah
863,2012-10-22,Maryland
864,2012-10-24,Maryland
865,2012-10-24,Delaware
866,2012-10-25,Maryland
867,2012-10-25,Colorado
868,2012-10-25,Delaware
869,2012-10-29,Washington
870,2012-10-30,Maryland
871,2012-10-30,Colorado
872,2012-11-02,Vermont
873,2012-11-07,New Hampshire
874,2012-11-08,Maryland
875,2012-11-15,Massachusetts
876,2012-11-21,Delaware
877,2012-11-26,Delaware
878,2012-11-26,Delaware
879,2012-11-27,New Hampshire
880,2013-06-21,Delaware
881,2013-06-22,Oregon
882,2013-06-27,Maryland
883,2013-06-28,Vermont
884,2013-06-28,Delaware
885,2013-07-18,Utah
886,2013-06-21,Nevada
887,2005-08-08,California
888,2005-11-03,California
889,2020-08-18,California
890,2020-08-24,Texas
891,2016-10-03,Texas
892,2016-10-05,Texas
893,2016-10-06,Texas
894,2003-06-15,Idaho
895,2004-07-24,Louisiana
896,2013-07-18,New York
897,2014-01-06,Kentucky
898,2014-01-06,Texas
899,2014-01-07,North Carolina
900,2014-01-07,Tennessee
901,2014-01-07,Tennessee
902,2014-01-23,Tennessee
903,2014-01-23,Maryland
904,2014-01-23,Tennessee
905,2014-01-27,Maryland
906,2014-03-02,Texas
907,2011-06-06,Arkansas
908,2011-06-18,Arkansas
909,2011-06-26,Kansas
910,2011-06-27,Texas
911,2011-06-29,Texas
912,2011-07-14,Texas
913,2011-07-21,Michigan
914,2011-07-21,Illinois
915,2011-07-22,New York
916,2011-08-01,Texas
917,2011-08-02,Oklahoma
918,2011-08-03,Arkansas
919,2011-08-03,Oklahoma
920,2011-08-04,Arkansas
921,2011-08-04,Oklahoma
922,2011-08-04,Texas
923,2011-08-23,New Mexico
924,2011-08-23,Texas
925,2011-08-23,Texas
926,2011-08-24,Texas
927,2011-12-06,North Dakota
928,2012-06-29,Arkansas
929,2012-06-30,Tennessee
930,2012-08-01,Arkansas
931,2012-08-01,Oklahoma
932,2014-01-18,Texas
933,2014-02-06,Texas
934,2014-02-06,Texas
935,2014-02-07,Texas
936,2014-02-07,Texas
937,2014-10-09,Texas
938,2014-05-14,California
939,2014-05-15,California
940,2014-05-16,California
941,2014-10-08,Texas
942,2014-10-08,Texas
943,2012-07-16,Arkansas
944,2004-01-08,New York
945,2004-01-14,New York
946,2004-10-25,Louisiana
947,2004-05-28,Florida
948,2004-05-28,Florida
949,2004-05-28,Florida
950,2010-10-05,California
951,2022-01-24,New York
952,2021-01-08,Arkansas
953,2021-07-12,Colorado
954,2020-03-23,Virginia
955,2018-04-09,Florida
956,2016-01-04,Wisconsin
957,2016-01-17,Utah
958,2016-02-07,Oregon
959,2016-02-21,Oregon
960,2016-03-08,Idaho
961,2016-03-10,Washington
962,2016-03-13,Washington
963,2016-03-27,Nevada
964,2016-03-30,Massachusetts
965,2016-04-01,Florida
966,2016-04-14,Maryland
967,2016-04-27,Texas
968,2016-05-07,New York
969,2016-05-14,Missouri
970,2017-03-24,Oregon
971,2017-04-13,Washington
972,2017-04-17,Utah
973,2015-01-27,Texas
974,2015-02-02,Texas
975,2015-02-09,Colorado
976,2015-03-16,Minnesota
977,2015-05-11,California
978,2015-05-12,Mississippi
979,2015-08-03,Arizona
980,2015-08-03,New Mexico
981,2015-11-02,Arkansas
982,2015-11-10,Indiana
983,2015-12-08,Nevada
984,2015-12-29,Maine
985,2015-12-31,Missouri
986,2012-01-05,Oklahoma
987,2016-06-07,Utah
988,2016-02-26,Arizona
989,2013-04-03,Colorado
990,2022-10-14,Connecticut
991,2022-10-14,Maine
992,2022-10-14,Massachusetts
993,2022-10-14,New Hampshire
994,2022-10-14,Rhode Island
995,2022-10-14,Vermont
996,2004-06-02,Louisiana
997,2006-07-16,Michigan
998,2006-07-17,Illinois
999,2006-07-18,Delaware
1000,2006-07-18,Pennsylvania
1001,2006-02-12,Virginia
1002,2010-01-18,California
1003,2010-01-20,California
1004,2004-02-26,Georgia
1005,2004-03-07,South Carolina
1006,2004-08-03,Illinois
1007,2005-09-13,Wisconsin
1008,2007-05-16,Connecticut
1009,2007-07-05,Michigan
1010,2007-08-24,Michigan
1011,2006-01-18,Maine
1012,2008-05-12,New Jersey
1013,2008-06-08,Michigan
1014,2008-06-10,New York
1015,2008-10-25,Connecticut
1016,2009-01-05,Texas
1017,2009-06-12,Tennessee
1018,2009-06-19,Michigan
1019,2003-04-04,New York
